;Доходность;Волатильность;Коэффициент Шарпа
Логистическая регрессия;{'RMSE': 27.27503850711498, 'R2': -1.0039881272412687};{'RMSE': 0.027649445869777006, 'R2': -2.168662759943899};{'RMSE': 0.9979406142660203, 'R2': -3.0727340103669203}
Наивный байесовский классификатор;{'RMSE': 100.00373547025346, 'R2': -25.93995368000688};{'RMSE': 0.022373427482350286, 'R2': -1.0747615801785373};{'RMSE': 3.278063570806132, 'R2': -42.94519484856504}
Дерево решений;{'RMSE': 38.87914842372451, 'R2': -3.071907345590338};{'RMSE': 0.018303824736923154, 'R2': -0.38863099047360095};{'RMSE': 1.2838691670104085, 'R2': -5.740904736181348}
Случайный лес;{'RMSE': 29.109269566170884, 'R2': -1.2825852954799988};{'RMSE': 0.017374458241913606, 'R2': -0.25119701375740533};{'RMSE': 0.8509821433093646, 'R2': -1.9615396102042482}
Метод ближайших соседей;{'RMSE': 24.73580150542933, 'R2': -0.6482245319478872};{'RMSE': 0.018144879167412496, 'R2': -0.3646186953508652};{'RMSE': 0.6774549730867728, 'R2': -0.8768843879933421}
Нейросеть (нелинейная регрессия);{'RMSE': 22.176776776400576, 'R2': -0.32483334212429127};{'RMSE': 0.08504579036778001, 'R2': -28.9784240958558};{'RMSE': 0.7223953178845864, 'R2': -1.1341576443471388}
