RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr
XOM;HSY;XOM;MSFT;GOOG;HSY;MSFT;MSFT
HSY;XOM;GOOG;HSY;CVX;AAPL;HSY;CVX
GOOG;MSFT;HSY;XOM;MSFT;MSFT;XOM;AAPL
