Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
IVV;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-17.7171;0.0153;-0.7358
VOO;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-17.7629;0.0153;-0.7395
QQQ;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-35.2202;0.0203;-1.1027
DIA;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-5.9812;0.0125;-0.3045
AAPL;4;3;1.0;0.0042;0.0;0.0163;2.0;1.0;0.0;0.0;5.4747;2;-26.8375;0.0225;-0.7584
GOOG;4;3;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-41.6605;0.0245;-1.081
MSFT;4;3;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-26.2126;0.0223;-0.7468
AMZN;4;3;1.0;0.0042;0.0;0.0161;2.0;1.0;0.0;0.0;5.4688;2;-58.2284;0.0316;-1.1711
META;4;3;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-81.5559;0.0406;-1.2769
XOM;4;3;1.0;0.0044;0.0;0.0775;2.0;1.0;0.0;0.0;5.4686;2;65.175;0.022;1.8785
CVX;4;3;1.0;0.0042;0.0;0.0323;2.0;1.0;0.0;0.0;5.473;2;49.8271;0.0208;1.5241
BP;4;3;1.0;0.0191;0.4233;0.6918;2.6438;0.125;0.8655;1.0657;4.8469;2;35.047;0.0224;0.9917
GAZP.ME;4;3;1.0;0.0145;;0.0;;inf;0.0;0.0;4.2047;2;-12.4395;0.0606;-0.4235
LUKOY;4;3;1.0;0.6114;0.9994;0.9988;91.4578;0.0066;3.878;0.816;2.0215;2;-148.0278;0.0921;-1.021
TSLA;4;3;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-96.1875;0.0412;-1.4841
F;4;3;1.0;0.0482;0.7797;0.8812;4.5596;0.0172;1.6544;2.0827;4.5785;2;-47.4797;0.0309;-0.9761
GM;4;3;1.0;0.0066;0.0822;0.2603;2.02;0.5;0.0;0.098;5.264;2;-49.7023;0.0277;-1.1394
TM;4;3;1.0;0.0042;0.0;0.0163;2.0;1.0;0.0;0.0;5.4763;2;-27.2904;0.0173;-1.0008
HMC;4;3;1.0;0.0483;0.6218;0.8083;3.8227;0.0333;1.0754;1.7909;4.1735;2;-15.5847;0.0176;-0.5629
GLD;4;3;1.0;0.0046;0.0;0.1176;2.0;1.0;0.0;0.0;5.4292;2;1.9204;0.0096;0.1271
SLV;4;3;1.0;0.0452;0.7458;0.8789;4.0155;0.0122;1.4518;1.8942;4.4683;2;8.3313;0.019;0.2788
