Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
DIA;3;1;0.8;0.0042;0.0;0.0153;2.0;1.0;0.0;0.0;5.4895;2;-5.9812;0.0125;-0.3045
AAPL;3;1;0.9;0.0046;0.5882;0.0389;2.2;0.5;0.0;0.5004;5.449;2;-26.8375;0.0225;-0.7584
GOOG;3;1;0.9;0.0047;0.1;0.0554;2.0;0.5;0.0;0.0;5.4496;2;-41.6605;0.0245;-1.081
MSFT;3;1;0.9;0.0042;0.2857;0.0532;2.3333;0.5;0.0;0.4506;5.4955;2;-26.2126;0.0223;-0.7468
AMZN;3;1;0.9;0.0043;0.2222;0.015;2.0;0.5;0.0;0.0;5.4781;2;-58.2284;0.0316;-1.1711
META;3;1;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5021;2;-81.5559;0.0406;-1.2769
XOM;3;1;0.9;0.0053;0.275;0.0426;2.3333;0.3333;0.5004;0.6365;5.3697;2;65.175;0.022;1.8785
CVX;3;1;0.9;0.0045;0.0;0.0289;2.0;1.0;0.0;0.0;5.4544;2;49.8271;0.0208;1.5241
BP;3;1;0.9;0.069;0.8135;0.8148;3.2326;0.0769;1.578;1.5198;4.0301;2;35.047;0.0224;0.9917
GAZP.ME;3;1;0.9;0.0135;0.0;0.0513;2.0;1.0;0.0;0.0;4.3005;2;-12.4395;0.0606;-0.4235
LUKOY;3;1;0.9;0.6655;0.9998;0.999;100.7726;0.0063;3.995;0.7361;1.8391;2;-148.0278;0.0921;-1.021
TSLA;3;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5094;2;-96.1875;0.0412;-1.4841
F;3;1;0.9;0.1146;0.9338;0.9485;6.0134;0.0167;2.264;2.4594;4.0866;2;-47.4797;0.0309;-0.9761
GM;3;1;0.9;0.021;0.6616;0.4696;2.4939;0.125;1.1139;0.9304;4.5895;2;-49.7023;0.0277;-1.1394
TM;3;1;0.9;0.0046;0.0;0.0348;2.0;1.0;0.0;0.0;5.4479;2;-27.2904;0.0173;-1.0008
HMC;3;1;0.9;0.1056;0.9263;0.9224;5.0258;0.027;2.04;2.2337;3.8985;2;-15.5847;0.0176;-0.5629
GLD;3;1;0.9;0.0074;0.4135;0.1619;2.3125;0.1429;1.0833;0.6211;5.1763;2;1.9204;0.0096;0.1271
SLV;3;1;0.9;0.106;0.9159;0.9451;5.2795;0.0233;2.0694;2.2837;3.9402;2;8.3313;0.019;0.2788
PALL;3;1;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4954;2;10.6484;0.0324;0.2089
PLAT;3;1;0.9;0.0323;0.764;0.6375;2.7701;0.1111;1.4245;1.203;4.2392;2;-49.7611;0.025;-1.2643
FCX;3;1;0.9;0.0118;0.5455;0.2169;2.3043;0.2;0.5047;0.6729;4.9047;2;7.3001;0.034;0.1364
SPY;3;1;0.9;0.0041;0.0;0.0157;2.0;1.0;0.0;0.0;5.5015;2;-17.7133;0.0153;-0.7353
IVV;3;1;0.9;0.0041;0.0;0.0156;2.0;1.0;0.0;0.0;5.4979;2;-17.7171;0.0153;-0.7358
VOO;3;1;0.9;0.0042;0.0;0.0154;2.0;1.0;0.0;0.0;5.4944;2;-17.7629;0.0153;-0.7395
QQQ;3;1;0.9;0.0041;0.6667;0.0;;0.5;0.0;0.0;5.4977;2;-35.2202;0.0203;-1.1027
DIA;3;1;0.9;0.0043;0.3;0.0297;2.0;0.3333;0.0;0.0;5.4705;2;-5.9812;0.0125;-0.3045
AAPL;3;1;1.0;0.0049;0.5;0.0432;2.6;0.3333;0.4506;0.673;5.4072;2;-26.8375;0.0225;-0.7584
GOOG;3;1;1.0;0.0049;0.2143;0.0754;2.0909;0.5;0.0;0.3046;5.4146;2;-41.6605;0.0245;-1.081
MSFT;3;1;1.0;0.0044;0.2727;0.0627;2.8333;0.3333;0.0;1.0114;5.4811;2;-26.2126;0.0223;-0.7468
AMZN;3;1;1.0;0.0043;0.2;0.0149;2.0;0.5;0.0;0.0;5.4754;2;-58.2284;0.0316;-1.1711
META;3;1;1.0;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5021;2;-81.5559;0.0406;-1.2769
XOM;3;1;1.0;0.0058;0.4444;0.0756;2.7;0.3333;0.4741;1.0889;5.3326;2;65.175;0.022;1.8785
CVX;3;1;1.0;0.0046;0.0;0.0281;2.0;1.0;0.0;0.0;5.4428;2;49.8271;0.0208;1.5241
BP;3;1;1.0;0.0843;0.8388;0.8513;3.4804;0.0556;1.7006;1.6569;3.9347;2;35.047;0.0224;0.9917
GAZP.ME;3;1;1.0;0.0139;0.0;0.05;2.0;1.0;0.0;0.0;4.2885;2;-12.4395;0.0606;-0.4235
LUKOY;3;1;1.0;0.6655;0.9998;0.999;100.7726;0.0063;3.995;0.7361;1.8391;2;-148.0278;0.0921;-1.021
TSLA;3;1;1.0;0.004;;0.0;;inf;0.0;0.0;5.5094;2;-96.1875;0.0412;-1.4841
F;3;1;1.0;0.1347;0.9506;0.9611;6.7656;0.0145;2.357;2.5952;4.031;2;-47.4797;0.0309;-0.9761
GM;3;1;1.0;0.0264;0.682;0.5394;2.5773;0.1111;1.2692;1.0159;4.4497;2;-49.7023;0.0277;-1.1394
TM;3;1;1.0;0.0049;0.1111;0.033;2.0;0.3333;0.0;0.0;5.4244;2;-27.2904;0.0173;-1.0008
HMC;3;1;1.0;0.1241;0.9436;0.9448;5.6857;0.0222;2.1643;2.398;3.9165;2;-15.5847;0.0176;-0.5629
GLD;3;1;1.0;0.0081;0.4453;0.1881;2.2619;0.1429;0.923;0.575;5.1303;2;1.9204;0.0096;0.1271
SLV;3;1;1.0;0.125;0.936;0.9592;5.9623;0.0071;2.172;2.4416;3.9168;2;8.3313;0.019;0.2788
PALL;3;1;1.0;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4954;2;10.6484;0.0324;0.2089
PLAT;3;1;1.0;0.0406;0.7926;0.7058;2.9933;0.1111;1.5355;1.3721;4.1393;2;-49.7611;0.025;-1.2643
FCX;3;1;1.0;0.0142;0.5741;0.2809;2.3846;0.1667;0.7339;0.7569;4.8098;2;7.3001;0.034;0.1364
SPY;3;1;1.0;0.0041;0.0;0.0156;2.0;1.0;0.0;0.0;5.4979;2;-17.7133;0.0153;-0.7353
IVV;3;1;1.0;0.0041;0.0;0.0156;2.0;1.0;0.0;0.0;5.4979;2;-17.7171;0.0153;-0.7358
VOO;3;1;1.0;0.0042;0.0;0.0154;2.0;1.0;0.0;0.0;5.4944;2;-17.7629;0.0153;-0.7395
QQQ;3;1;1.0;0.0041;0.5;0.0;;0.5;0.0;0.0;5.4941;2;-35.2202;0.0203;-1.1027
DIA;3;1;1.0;0.0045;0.3125;0.0285;2.0;0.3333;0.6931;0.0;5.4511;2;-5.9812;0.0125;-0.3045
AAPL;3;2;0.8;0.0043;0.0;0.0153;2.0;1.0;0.0;0.0;5.4777;2;-26.8375;0.0225;-0.7584
GOOG;3;2;0.8;0.0043;0.0;0.0456;2.0;1.0;0.0;0.0;5.4741;2;-41.6605;0.0245;-1.081
MSFT;3;2;0.8;0.004;;0.0;;inf;0.0;0.0;5.5013;2;-26.2126;0.0223;-0.7468
AMZN;3;2;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4976;2;-58.2284;0.0316;-1.1711
META;3;2;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4924;2;-81.5559;0.0406;-1.2769
XOM;3;2;0.8;0.0047;0.0;0.0623;2.0;1.0;0.0;0.0;5.4219;2;65.175;0.022;1.8785
CVX;3;2;0.8;0.0044;0.0;0.0749;2.0;1.0;0.0;0.0;5.4728;2;49.8271;0.0208;1.5241
BP;3;2;0.8;0.0338;0.4389;0.6755;2.6271;0.0769;1.5686;1.0768;4.5005;2;35.047;0.0224;0.9917
GAZP.ME;3;2;0.8;0.0135;;0.0;;inf;0.0;0.0;4.2767;2;-12.4395;0.0606;-0.4235
LUKOY;3;2;0.8;0.65;0.9996;0.9988;98.2903;0.0064;3.9611;0.7513;1.9102;2;-148.0278;0.0921;-1.021
TSLA;3;2;0.8;0.004;;0.0;;inf;0.0;0.0;5.5013;2;-96.1875;0.0412;-1.4841
F;3;2;0.8;0.0729;0.7634;0.8784;5.0167;0.0385;2.1069;2.227;4.3425;2;-47.4797;0.0309;-0.9761
GM;3;2;0.8;0.0114;0.2089;0.33;2.2115;0.1667;0.9257;0.5562;5.0307;2;-49.7023;0.0277;-1.1394
TM;3;2;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4903;2;-27.2904;0.0173;-1.0008
HMC;3;2;0.8;0.0655;0.6208;0.7868;4.1057;0.0333;1.9119;1.9335;4.2033;2;-15.5847;0.0176;-0.5629
GLD;3;2;0.8;0.0056;0.0435;0.1032;2.0588;0.5;0.0;0.2237;5.3595;2;1.9204;0.0096;0.1271
SLV;3;2;0.8;0.0625;0.7054;0.8604;4.1193;0.0294;2.0327;1.935;4.3081;2;8.3313;0.019;0.2788
PALL;3;2;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4976;2;10.6484;0.0324;0.2089
PLAT;3;2;0.8;0.0177;0.3046;0.5116;2.2851;0.1429;1.3265;0.6612;4.7306;2;-49.7611;0.025;-1.2643
FCX;3;2;0.8;0.0066;0.0385;0.1737;2.0;0.3333;0.0;0.0;5.2833;2;7.3001;0.034;0.1364
SPY;3;2;0.8;0.0042;0.0;0.0311;2.0;1.0;0.0;0.0;5.4874;2;-17.7133;0.0153;-0.7353
IVV;3;2;0.8;0.0041;0.0;0.0158;2.0;1.0;0.0;0.0;5.4906;2;-17.7171;0.0153;-0.7358
VOO;3;2;0.8;0.0042;0.0;0.0311;2.0;1.0;0.0;0.0;5.4874;2;-17.7629;0.0153;-0.7395
QQQ;3;2;0.8;0.004;;0.0;;inf;0.0;0.0;5.5013;2;-35.2202;0.0203;-1.1027
DIA;3;2;0.8;0.0042;0.0;0.0314;2.0;1.0;0.0;0.0;5.4912;2;-5.9812;0.0125;-0.3045
AAPL;3;2;0.9;0.0043;0.0;0.0153;2.0;1.0;0.0;0.0;5.4777;2;-26.8375;0.0225;-0.7584
GOOG;3;2;0.9;0.0044;0.0;0.0738;2.0;1.0;0.0;0.0;5.4643;2;-41.6605;0.0245;-1.081
MSFT;3;2;0.9;0.004;;0.0;;inf;0.0;0.0;5.5013;2;-26.2126;0.0223;-0.7468
AMZN;3;2;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4939;2;-58.2284;0.0316;-1.1711
META;3;2;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4924;2;-81.5559;0.0406;-1.2769
XOM;3;2;0.9;0.005;0.0;0.0726;2.0;1.0;0.0;0.0;5.404;2;65.175;0.022;1.8785
CVX;3;2;0.9;0.0044;0.0;0.0743;2.0;1.0;0.0;0.0;5.4728;2;49.8271;0.0208;1.5241
BP;3;2;0.9;0.0437;0.5079;0.7238;2.8791;0.0625;1.6796;1.29;4.4089;2;35.047;0.0224;0.9917
GAZP.ME;3;2;0.9;0.0135;;0.0;;inf;0.0;0.0;4.2767;2;-12.4395;0.0606;-0.4235
LUKOY;3;2;0.9;0.65;0.9996;0.9988;98.2903;0.0064;3.9611;0.7513;1.9102;2;-148.0278;0.0921;-1.021
TSLA;3;2;0.9;0.004;;0.0;;inf;0.0;0.0;5.5013;2;-96.1875;0.0412;-1.4841
F;3;2;0.9;0.0908;0.8028;0.895;5.7131;0.0196;2.2996;2.4082;4.2784;2;-47.4797;0.0309;-0.9761
GM;3;2;0.9;0.014;0.1967;0.4177;2.2236;0.1429;0.9656;0.5729;4.9536;2;-49.7023;0.0277;-1.1394
TM;3;2;0.9;0.0042;0.0;0.0156;2.0;1.0;0.0;0.0;5.4885;2;-27.2904;0.0173;-1.0008
HMC;3;2;0.9;0.0842;0.6818;0.8336;4.7055;0.0333;2.0754;2.1445;4.1397;2;-15.5847;0.0176;-0.5629
GLD;3;2;0.9;0.006;0.082;0.168;2.0667;0.3333;0.6931;0.2449;5.3184;2;1.9204;0.0096;0.1271
SLV;3;2;0.9;0.0795;0.7598;0.891;4.7338;0.0164;2.1995;2.1372;4.2472;2;8.3313;0.019;0.2788
PALL;3;2;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4976;2;10.6484;0.0324;0.2089
PLAT;3;2;0.9;0.0224;0.3679;0.602;2.3994;0.1429;1.4614;0.8271;4.6034;2;-49.7611;0.025;-1.2643
FCX;3;2;0.9;0.008;0.0833;0.2279;2.0182;0.3333;0.6931;0.0909;5.2092;2;7.3001;0.034;0.1364
SPY;3;2;0.9;0.0042;0.0;0.0311;2.0;1.0;0.0;0.0;5.4874;2;-17.7133;0.0153;-0.7353
IVV;3;2;0.9;0.0042;0.0;0.0157;2.0;1.0;0.0;0.0;5.4885;2;-17.7171;0.0153;-0.7358
VOO;3;2;0.9;0.0042;0.0;0.0309;2.0;1.0;0.0;0.0;5.4839;2;-17.7629;0.0153;-0.7395
QQQ;3;2;0.9;0.004;;0.0;;inf;0.0;0.0;5.5013;2;-35.2202;0.0203;-1.1027
DIA;3;2;0.9;0.0042;0.0;0.0311;2.0;1.0;0.0;0.0;5.4876;2;-5.9812;0.0125;-0.3045
AAPL;3;2;1.0;0.0044;0.0;0.0369;2.0;1.0;0.0;0.0;5.4603;2;-26.8375;0.0225;-0.7584
GOOG;3;2;1.0;0.0045;0.0;0.0722;2.0;1.0;0.0;0.0;5.4544;2;-41.6605;0.0245;-1.081
MSFT;3;2;1.0;0.0042;0.0;0.0156;2.0;1.0;0.0;0.0;5.4814;2;-26.2126;0.0223;-0.7468
AMZN;3;2;1.0;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4939;2;-58.2284;0.0316;-1.1711
META;3;2;1.0;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4924;2;-81.5559;0.0406;-1.2769
XOM;3;2;1.0;0.0054;0.0;0.1155;2.0;1.0;0.0;0.0;5.3725;2;65.175;0.022;1.8785
CVX;3;2;1.0;0.0044;0.0;0.0738;2.0;1.0;0.0;0.0;5.471;2;49.8271;0.0208;1.5241
BP;3;2;1.0;0.0542;0.5768;0.7649;3.1133;0.0625;1.7942;1.4502;4.2995;2;35.047;0.0224;0.9917
GAZP.ME;3;2;1.0;0.0135;;0.0;;inf;0.0;0.0;4.2767;2;-12.4395;0.0606;-0.4235
LUKOY;3;2;1.0;0.65;0.9996;0.9988;98.2903;0.0064;3.9611;0.7513;1.9102;2;-148.0278;0.0921;-1.021
TSLA;3;2;1.0;0.0041;0.0;0.0161;2.0;1.0;0.0;0.0;5.4991;2;-96.1875;0.0412;-1.4841
F;3;2;1.0;0.1097;0.8507;0.9229;6.5972;0.0156;2.4516;2.5797;4.2363;2;-47.4797;0.0309;-0.9761
GM;3;2;1.0;0.0172;0.2711;0.4824;2.2941;0.125;0.8961;0.6809;4.8019;2;-49.7023;0.0277;-1.1394
TM;3;2;1.0;0.0043;0.0;0.0152;2.0;1.0;0.0;0.0;5.4794;2;-27.2904;0.0173;-1.0008
HMC;3;2;1.0;0.1017;0.7408;0.8665;5.3912;0.0233;2.2577;2.3308;4.1577;2;-15.5847;0.0176;-0.5629
GLD;3;2;1.0;0.0067;0.0625;0.2015;2.05;0.3333;0.6931;0.1985;5.2695;2;1.9204;0.0096;0.1271
SLV;3;2;1.0;0.0981;0.8044;0.9032;5.5769;0.0105;2.3167;2.3798;4.1802;2;8.3313;0.019;0.2788
PALL;3;2;1.0;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4976;2;10.6484;0.0324;0.2089
PLAT;3;2;1.0;0.0283;0.4263;0.6748;2.6335;0.1111;1.5458;1.077;4.4988;2;-49.7611;0.025;-1.2643
FCX;3;2;1.0;0.0094;0.0679;0.2855;2.1169;0.25;1.0397;0.3088;5.135;2;7.3001;0.034;0.1364
SPY;3;2;1.0;0.0042;0.0;0.0311;2.0;1.0;0.0;0.0;5.4874;2;-17.7133;0.0153;-0.7353
IVV;3;2;1.0;0.0042;0.0;0.0309;2.0;1.0;0.0;0.0;5.4839;2;-17.7171;0.0153;-0.7358
VOO;3;2;1.0;0.0042;0.0;0.0309;2.0;1.0;0.0;0.0;5.4839;2;-17.7629;0.0153;-0.7395
QQQ;3;2;1.0;0.004;;0.0;;inf;0.0;0.0;5.5013;2;-35.2202;0.0203;-1.1027
DIA;3;2;1.0;0.0043;0.0;0.0453;2.0;1.0;0.0;0.0;5.4749;2;-5.9812;0.0125;-0.3045
AAPL;3;3;0.8;0.0043;0.0;0.0153;2.0;1.0;0.0;0.0;5.4571;2;-26.8375;0.0225;-0.7584
GOOG;3;3;0.8;0.0041;0.0;0.0321;2.0;1.0;0.0;0.0;5.4888;2;-41.6605;0.0245;-1.081
MSFT;3;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-26.2126;0.0223;-0.7468
AMZN;3;3;0.8;0.0043;0.0;0.0467;2.0;1.0;0.0;0.0;5.4747;2;-58.2284;0.0316;-1.1711
META;3;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-81.5559;0.0406;-1.2769
XOM;3;3;0.8;0.0044;0.0;0.0974;2.0;1.0;0.0;0.0;5.4672;2;65.175;0.022;1.8785
CVX;3;3;0.8;0.0042;0.0;0.0474;2.0;1.0;0.0;0.0;5.4829;2;49.8271;0.0208;1.5241
BP;3;3;0.8;0.0267;0.4631;0.6883;2.6427;0.125;0.8582;1.0191;4.6704;2;35.047;0.0224;0.9917
GAZP.ME;3;3;0.8;0.0143;0.0;0.0541;2.0;1.0;0.0;0.0;4.241;2;-12.4395;0.0606;-0.4235
LUKOY;3;3;0.8;0.6348;0.9994;0.9988;95.1375;0.0065;3.93;0.7927;1.9465;2;-148.0278;0.0921;-1.021
TSLA;3;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-96.1875;0.0412;-1.4841
F;3;3;0.8;0.0579;0.78;0.8854;4.3007;0.037;1.5903;1.9943;4.433;2;-47.4797;0.0309;-0.9761
GM;3;3;0.8;0.0095;0.1235;0.2917;2.0494;0.2;0.7356;0.182;5.0725;2;-49.7023;0.0277;-1.1394
TM;3;3;0.8;0.0043;0.0;0.0383;2.0;1.0;0.0;0.0;5.4692;2;-27.2904;0.0173;-1.0008
HMC;3;3;0.8;0.0547;0.623;0.7833;3.6445;0.0357;1.1545;1.7295;4.0413;2;-15.5847;0.0176;-0.5629
GLD;3;3;0.8;0.0052;0.0606;0.1704;2.12;0.5;0.0;0.3669;5.3896;2;1.9204;0.0096;0.1271
SLV;3;3;0.8;0.0516;0.7067;0.8514;3.8244;0.0217;1.3774;1.8153;4.2994;2;8.3313;0.019;0.2788
PALL;3;3;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4893;2;10.6484;0.0324;0.2089
PLAT;3;3;0.8;0.0137;0.3379;0.5273;2.3262;0.2;0.6179;0.7316;4.9043;2;-49.7611;0.025;-1.2643
FCX;3;3;0.8;0.0064;0.0286;0.2623;2.0612;0.5;0.0;0.2303;5.2955;2;7.3001;0.034;0.1364
SPY;3;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7133;0.0153;-0.7353
IVV;3;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7171;0.0153;-0.7358
VOO;3;3;0.8;0.0041;0.0;0.0321;2.0;1.0;0.0;0.0;5.4898;2;-17.7629;0.0153;-0.7395
QQQ;3;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-35.2202;0.0203;-1.1027
DIA;3;3;0.8;0.0042;0.0;0.0319;2.0;1.0;0.0;0.0;5.4851;2;-5.9812;0.0125;-0.3045
AAPL;3;3;0.9;0.0044;0.0;0.0453;2.0;1.0;0.0;0.0;5.446;2;-26.8375;0.0225;-0.7584
GOOG;3;3;0.9;0.0042;0.0;0.0471;2.0;1.0;0.0;0.0;5.4793;2;-41.6605;0.0245;-1.081
MSFT;3;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-26.2126;0.0223;-0.7468
AMZN;3;3;0.9;0.0043;0.0;0.0467;2.0;1.0;0.0;0.0;5.4747;2;-58.2284;0.0316;-1.1711
META;3;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-81.5559;0.0406;-1.2769
XOM;3;3;0.9;0.0047;0.0;0.1193;2.0;1.0;0.0;0.0;5.4449;2;65.175;0.022;1.8785
CVX;3;3;0.9;0.0043;0.0;0.0618;2.0;1.0;0.0;0.0;5.4745;2;49.8271;0.0208;1.5241
BP;3;3;0.9;0.0335;0.5226;0.7218;2.8379;0.0909;1.0556;1.219;4.5706;2;35.047;0.0224;0.9917
GAZP.ME;3;3;0.9;0.0143;0.0;0.0541;2.0;1.0;0.0;0.0;4.241;2;-12.4395;0.0606;-0.4235
LUKOY;3;3;0.9;0.6348;0.9994;0.9988;95.1375;0.0065;3.93;0.7927;1.9465;2;-148.0278;0.0921;-1.021
TSLA;3;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-96.1875;0.0412;-1.4841
F;3;3;0.9;0.0737;0.8291;0.9048;4.9407;0.0164;1.7837;2.1998;4.3324;2;-47.4797;0.0309;-0.9761
GM;3;3;0.9;0.0115;0.1166;0.3632;2.0917;0.2;0.6002;0.3139;4.9431;2;-49.7023;0.0277;-1.1394
TM;3;3;0.9;0.0045;0.0;0.0513;2.0;1.0;0.0;0.0;5.4492;2;-27.2904;0.0173;-1.0008
HMC;3;3;0.9;0.0708;0.6813;0.8228;4.1033;0.0303;1.2977;1.9022;3.9344;2;-15.5847;0.0176;-0.5629
GLD;3;3;0.9;0.0056;0.0889;0.2358;2.0789;0.5;0.0;0.2762;5.3528;2;1.9204;0.0096;0.1271
SLV;3;3;0.9;0.0664;0.7599;0.8755;4.3997;0.0196;1.5847;2.0468;4.1789;2;8.3313;0.019;0.2788
PALL;3;3;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4893;2;10.6484;0.0324;0.2089
PLAT;3;3;0.9;0.0171;0.3836;0.5784;2.4444;0.1429;0.8232;0.8678;4.7611;2;-49.7611;0.025;-1.2643
FCX;3;3;0.9;0.0074;0.0606;0.298;2.0952;0.5;0.0;0.3169;5.2378;2;7.3001;0.034;0.1364
SPY;3;3;0.9;0.0041;0.0;0.0162;2.0;1.0;0.0;0.0;5.492;2;-17.7133;0.0153;-0.7353
IVV;3;3;0.9;0.0041;0.0;0.0162;2.0;1.0;0.0;0.0;5.492;2;-17.7171;0.0153;-0.7358
VOO;3;3;0.9;0.0041;0.0;0.0321;2.0;1.0;0.0;0.0;5.4898;2;-17.7629;0.0153;-0.7395
QQQ;3;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-35.2202;0.0203;-1.1027
DIA;3;3;0.9;0.0042;0.0;0.0319;2.0;1.0;0.0;0.0;5.4851;2;-5.9812;0.0125;-0.3045
AAPL;3;3;1.0;0.0045;0.0;0.0595;2.0;1.0;0.0;0.0;5.4408;2;-26.8375;0.0225;-0.7584
GOOG;3;3;1.0;0.0044;0.0;0.0913;2.0;1.0;0.0;0.0;5.4693;2;-41.6605;0.0245;-1.081
MSFT;3;3;1.0;0.0041;0.0;0.0161;2.0;1.0;0.0;0.0;5.4872;2;-26.2126;0.0223;-0.7468
AMZN;3;3;1.0;0.0044;0.0;0.0604;2.0;1.0;0.0;0.0;5.4601;2;-58.2284;0.0316;-1.1711
META;3;3;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-81.5559;0.0406;-1.2769
XOM;3;3;1.0;0.0049;0.0;0.1559;2.0;1.0;0.0;0.0;5.4371;2;65.175;0.022;1.8785
CVX;3;3;1.0;0.0044;0.0;0.0604;2.0;1.0;0.0;0.0;5.4632;2;49.8271;0.0208;1.5241
BP;3;3;1.0;0.0439;0.5712;0.7687;3.0254;0.0769;1.2499;1.3703;4.4192;2;35.047;0.0224;0.9917
GAZP.ME;3;3;1.0;0.0143;0.0;0.0541;2.0;1.0;0.0;0.0;4.241;2;-12.4395;0.0606;-0.4235
LUKOY;3;3;1.0;0.6348;0.9994;0.9988;95.1375;0.0065;3.93;0.7927;1.9465;2;-148.0278;0.0921;-1.021
TSLA;3;3;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-96.1875;0.0412;-1.4841
