Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
AAPL;3;1;0.8;0.0044;0.3636;0.0258;2.3333;0.5;0.0;0.6365;5.4725;2;-26.8375;0.0225;-0.7584
GOOG;3;1;0.8;0.0045;0.0;0.0285;2.0;1.0;0.0;0.0;5.4595;2;-41.6605;0.0245;-1.081
MSFT;3;1;0.8;0.0042;0.3333;0.046;2.4;0.5;0.0;0.5004;5.4979;2;-26.2126;0.0223;-0.7468
AMZN;3;1;0.8;0.0042;0.2857;0.0152;2.0;0.5;0.0;0.0;5.4849;2;-58.2284;0.0316;-1.1711
META;3;1;0.8;0.004;0.0;0.0;;1.0;0.0;0.0;5.5057;2;-81.5559;0.0406;-1.2769
XOM;3;1;0.8;0.0049;0.1429;0.023;2.3333;0.5;0.0;0.6365;5.3997;2;65.175;0.022;1.8785
CVX;3;1;0.8;0.0044;0.0;0.0295;2.0;1.0;0.0;0.0;5.4731;2;49.8271;0.0208;1.5241
BP;3;1;0.8;0.056;0.787;0.77;3.0387;0.1;1.4578;1.4004;4.115;2;35.047;0.0224;0.9917
GAZP.ME;3;1;0.8;0.0135;0.0;0.0513;2.0;1.0;0.0;0.0;4.3005;2;-12.4395;0.0606;-0.4235
LUKOY;3;1;0.8;0.6654;0.9998;0.9989;101.5;0.0063;3.9938;0.6931;1.8447;2;-148.0278;0.0921;-1.021
TSLA;3;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5094;2;-96.1875;0.0412;-1.4841
F;3;1;0.8;0.0953;0.9183;0.9281;5.3275;0.0303;2.1029;2.2978;4.1068;2;-47.4797;0.0309;-0.9761
GM;3;1;0.8;0.0162;0.6313;0.3819;2.3938;0.125;0.9444;0.8071;4.7653;2;-49.7023;0.0277;-1.1394
TM;3;1;0.8;0.0044;0.0;0.0148;2.0;1.0;0.0;0.0;5.469;2;-27.2904;0.0173;-1.0008
HMC;3;1;0.8;0.0864;0.8946;0.8846;4.3699;0.0312;1.9007;2.0284;3.9336;2;-15.5847;0.0176;-0.5629
GLD;3;1;0.8;0.0064;0.3973;0.1241;2.3333;0.2;1.1935;0.6365;5.2584;2;1.9204;0.0096;0.1271
SLV;3;1;0.8;0.0882;0.8958;0.9302;4.6348;0.0333;1.9917;2.1162;4.043;2;8.3313;0.019;0.2788
PALL;3;1;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4954;2;10.6484;0.0324;0.2089
PLAT;3;1;0.8;0.0245;0.7248;0.5391;2.6537;0.125;1.2715;1.1012;4.4158;2;-49.7611;0.025;-1.2643
FCX;3;1;0.8;0.0095;0.5148;0.1312;2.3333;0.2;0.5442;0.6616;5.0322;2;7.3001;0.034;0.1364
SPY;3;1;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5036;2;-17.7133;0.0153;-0.7353
IVV;3;1;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5036;2;-17.7171;0.0153;-0.7358
VOO;3;1;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5;2;-17.7629;0.0153;-0.7395
QQQ;3;1;0.8;0.0041;0.6667;0.0;;0.5;0.0;0.0;5.4977;2;-35.2202;0.0203;-1.1027
