Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio;Score;Category
HSY;2;1;1,0;0,0126;0,4238;0,2576;2,6711;0,2;0,9093000292778015;0,8913999795913696;4,85830020904541;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
XOM;2;1;1,0;0,0149;0,3706;0,3032;2,431;0,2;0,725600004196167;0,816100001335144;4,7118000984191895;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
CVX;2;1;1,0;0,0098;0,3094;0,1552;2,2093;0,25;0,4311000108718872;0,5130000114440918;4,961299896240234;2;0,8563408230410305;0,6696428571428572;0,8802500422368644;1,0669480081350378;Mean
MSFT;2;1;1,0;0,0062;0,3235;0,1244;3,2;0,25;0,8486999869346619;1,0437999963760376;5,302800178527832;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
AAPL;2;1;1,0;0,0097;0,3164;0,1689;2,1702;0,2;0,8568999767303467;0,46320000290870667;4,9542999267578125;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
GOOG;2;1;1,0;0,0107;0,3206;0,274;2,2593;0,3333;0,44179999828338623;0,6037999987602234;4,936299800872803;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
