Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio;Score;Category
XOM;2;1;1,0;0,0149;0,3706;0,3032;2,431;0,2;0,725600004196167;0,816100001335144;4,7118000984191895;2;0,8539149903554699;0,3839009287925697;1,0;1,4700140615629003;Best
CVX;2;1;1,0;0,0098;0,3077;0,158;2,2045;0,25;0,4311000108718872;0,506600022315979;4,960299968719482;2;0,7481840727473134;0,346749226006192;0,8966311798162463;1,2980660265573676;Best
COP;2;1;1,0;0,0111;0,3498;0,1782;2,1379;0,3333;0,3425000011920929;0,3984000086784363;4,914700031280518;2;0,8256330945163957;0,5386996904024768;0,8708181420446259;1,1577515461585448;Best
OXY;2;1;1,0;0,0215;0,4698;0,3594;2,3447;0,1667;0,8064000010490417;0,7419999837875366;4,4994001388549805;2;1,0;0,7770897832817338;0,9130815225317195;1,1359917392499856;Best
VLO;2;1;1,0;0,0095;0,4162;0,2181;2,5;0,2;0,910099983215332;0,8968999981880188;5,0381999015808105;2;0,841093276384679;0,5789473684210527;0,8665013854455301;1,1286472934091565;Best
SLB;2;1;1,0;0,0449;0,6025;0,5716;2,5664;0,1667;1,0140999555587769;1,0121999979019165;3,99399995803833;2;0,8589769909065859;0,6687306501547987;0,842875893247776;1,0331222339995632;Best
PSX;2;1;1,0;0,0208;0,4354;0,2665;2,3133;0,25;0,6051999926567078;0,6682999730110168;4,520899772644043;2;0,7043462386332323;0,4674922600619195;0,7783870497302028;1,0152410283015156;Best
BP;2;1;1,0;0,1489;0,8777;0,9153;4,2085;0,0312;1,7496999502182007;1,9609999656677246;3,553100109100342;2;0,6463647010195646;0,3962848297213623;0,7413446113460698;0,991424482644272;Best
EOG;2;1;1,0;0,0107;0,3;0,1881;2,1724;0,25;0,4787999987602234;0,3984000086784363;4,944799900054932;2;0,7665851474235327;0,5789473684210527;0,7955665743036313;0,9832043533061113;Best
HAL;2;1;1,0;0,0583;0,692;0,6355;2,7616;0,1111;1,1540000438690186;1,1801999807357788;3,835700035095215;2;0,8452307798291541;0,7027863777089784;0,8190170628554763;0,9614614649756519;Best
MRO;2;1;1,0;0,0783;0,7777;0,8146;3,3459;0,0833;1,4641000032424927;1,5755000114440918;3,8094000816345215;2;0,8326191788371453;0,7182662538699691;0,8024208837684119;0,9167738087355881;Best
CMC;2;1;1,0;0,0573;0,6691;0,6729;2,8475;0,1;1,1943999528884888;1,2445000410079956;3,9184000492095947;2;0,6654911821438413;0,4829721362229103;0,7303193816537845;0,9128384275747154;Best
GLD;2;1;1,0;0,022;0,4752;0,4543;2,4743;0,1;0,832099974155426;0,9108999967575073;4,471700191497803;2;0,41815720584182975;0,0;0,48916435759078314;0,9073215634326128;Best
