Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
META;2;1;0,9;0,0048;0,16;0,04;2,0;0,5;0,0;0,0;5,427000045776367;2;-81,5559;0,0406;-1,2769

Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
XOM;2;1;0,9;0,0125;0,3534;0,2327;2,275;0,25;0,5942999720573425;0,608299970626831;4,803899765014648;2;65,175;0,022;1,8785
CVX;2;1;0,9;0,0084;0,2464;0,1046;2,2;0,5;0,0;0,5004000067710876;5,027599811553955;2;49,8271;0,0208;1,5241
BP;2;1;0,9;0,1264;0,8528;0,893;3,796;0,0526;1,6141999959945679;1,7967000007629395;3,6152000427246094;2;35,047;0,0224;0,9917
GAZP.ME;2;1;0,9;0,015;0,3333;0,1461;2,6;0,5;0,0;0,6729999780654907;4,276000022888184;2;-12,4395;0,0606;-0,4235
LUKOY;2;1;0,9;0,6736;0,9992;0,9986;100,5813;0,0062;4,011000156402588;0,7853000164031982;1,8871999979019165;2;-148,0278;0,0921;-1,021

Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
TSLA;2;1;0,9;0,0044;0,0;0,0288;2,0;1,0;0,0;0,0;5,467100143432617;2;-96,1875;0,0412;-1,4841
F;2;1;0,9;0,1625;0,9439;0,965;7,0511;0,0143;2,273099899291992;2,6314001083374023;3,824199914932251;2;-47,4797;0,0309;-0,9761
GM;2;1;0,9;0,0513;0,6854;0,6507;2,8575;0,1;1,2529000043869019;1,251099944114685;3,913599967956543;2;-49,7023;0,0277;-1,1394
TM;2;1;0,9;0,0089;0,3026;0,204;2,1731;0,25;0,18490000069141388;0,46070000529289246;5,074100017547607;2;-27,2904;0,0173;-1,0008
HMC;2;1;0,9;0,1316;0,9197;0,9364;6,007;0,0256;2,1178998947143555;2,472599983215332;3,6975998878479004;2;-19,4148;0,0173;-0,7108

Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
GLD;2;1;0,9;0,0186;0,4518;0,3907;2,4149;0,1;0,7610999941825867;0,84579998254776;4,610300064086914;2;1,9204;0,0096;0,1271
SLV;2;1;0,9;0,1592;0,9441;0,963;6,4008;0,0104;2,1326000690460205;2,540800094604492;3,6451001167297363;2;8,3313;0,019;0,2788
PALL;2;1;0,9;0,006;0,1639;0,086;2,0;0,5;0,0;0,0;5,356599807739258;2;10,6484;0,0324;0,2089
PLAT;2;1;0,9;0,0681;0,7707;0,7917;3,2416;0,1;1,5185999870300293;1,5126999616622925;3,6719000339508057;2;-49,7611;0,025;-1,2643
FCX;2;1;0,9;0,0317;0,5803;0,5152;2,531;0,1429;0,900600016117096;0,9664000272750854;4,197500228881836;2;7,3001;0,034;0,1364

Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
