Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio;Score;Category
XOM;3;3;0,9;0,0047;0,0;0,1193;2,0;1,0;0,0;0,0;5,444900035858154;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;2;3;1,0;0,0103;0,1443;0,3491;2,1765;0,5;0,0;0,48890000581741333;5,08519983291626;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;3;2;1,0;0,0054;0,0;0,1155;2,0;1,0;0,0;0,0;5,372499942779541;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;3;1;0,8;0,0049;0,1429;0,023;2,3333;0,5;0,0;0,6365000009536743;5,399700164794922;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;3;2;0,9;0,005;0,0;0,0726;2,0;1,0;0,0;0,0;5,4039998054504395;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;3;1;0,9;0,0053;0,275;0,0426;2,3333;0,3333;0,5004000067710876;0,6365000009536743;5,369699954986572;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;3;2;0,8;0,0047;0,0;0,0623;2,0;1,0;0,0;0,0;5,421899795532227;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;2;3;0,8;0,0081;0,0968;0,25;2,1754;0,5;0,0;0,4584999978542328;5,178800106048584;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;2;2;1,0;0,0126;0,1203;0,3214;2,1826;0,25;0,656000018119812;0,4871000051498413;4,849899768829346;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;4;1;0,8;0,0041;0,0;0,0;nan;1,0;0,0;0,0;5,501699924468994;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;2;2;0,8;0,0092;0,087;0,2277;2,1311;0,3333;0,6365000009536743;0,4034000039100647;5,056000232696533;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;4;3;1,0;0,0044;0,0;0,0775;2,0;1,0;0,0;0,0;5,468599796295166;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;2;1;0,8;0,0108;0,3318;0,1667;2,24;0,3333;0,48260000348091125;0,550599992275238;4,908699989318848;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;4;3;0,9;0,0043;0,0;0,032;2,0;1,0;0,0;0,0;5,472499847412109;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;2;1;0,9;0,0126;0,3556;0,238;2,2927;0,25;0,6679999828338623;0,6146000027656555;4,797399997711182;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;4;3;0,8;0,0042;0,0;0,0163;2,0;1,0;0,0;0,0;5,474699974060059;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;2;1;1,0;0,0149;0,3706;0,3032;2,431;0,2;0,725600004196167;0,816100001335144;4,7118000984191895;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;4;2;0,9;0,0041;0,0;0,0161;2,0;1,0;0,0;0,0;5,487199783325195;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;4;2;1,0;0,0042;0,0;0,0316;2,0;1,0;0,0;0,0;5,481400012969971;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;3;1;1,0;0,0058;0,4444;0,0756;2,7;0,3333;0,4740999937057495;1,0888999700546265;5,332600116729736;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;4;2;0,8;0,0041;0,0;0,0161;2,0;1,0;0,0;0,0;5,487199783325195;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
