Инструмент;Sharpe Ratio
XOM;1,8785
CVX;1,5241
BP;0,9917
SLV;0,2788
PALL;0,2089
FCX;0,1364
GLD;0,1271
DIA;-0,3045
GAZP.ME;-0,4235
HMC;-0,7108
SPY;-0,7353
IVV;-0,7358
VOO;-0,7395
MSFT;-0,7468
AAPL;-0,7584
F;-0,9761
TM;-1,0008
LUKOY;-1,021
GOOG;-1,081
QQQ;-1,1027
GM;-1,1394
AMZN;-1,1711
PLAT;-1,2643
META;-1,2769
TSLA;-1,4841
