RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr
LUKOY;LUKOY;LUKOY;F;TSLA;LUKOY;F;TSLA
F;F;F;SLV;META;F;HMC;META
HMC;SLV;SLV;HMC;PALL;HMC;SLV;QQQ
