Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
AAPL;2;1;0.8;0.0077;0.2435;0.1146;2.1154;0.3333;0.4293;0.3576;5.1178;2;-26.8375;0.0225;-0.7584
GOOG;2;1;0.8;0.0082;0.3;0.2039;2.08;0.3333;0.2062;0.2652;5.1217;2;-41.6605;0.0245;-1.081
MSFT;2;1;0.8;0.0054;0.2955;0.0976;2.5385;0.3333;0.4506;0.9372;5.3724;2;-26.2126;0.0223;-0.7468
AMZN;2;1;0.8;0.0057;0.283;0.0815;2.2308;0.3333;0.4101;0.5402;5.3443;2;-58.2284;0.0316;-1.1711
META;2;1;0.8;0.0046;0.2222;0.028;2.0;0.5;0.0;0.0;5.4472;2;-81.5559;0.0406;-1.2769
XOM;2;1;0.8;0.0108;0.3318;0.1667;2.24;0.3333;0.4826;0.5506;4.9087;2;65.175;0.022;1.8785
CVX;2;1;0.8;0.0076;0.2143;0.0781;2.1765;0.5;0.0;0.466;5.0909;2;49.8271;0.0208;1.5241
BP;2;1;0.8;0.1095;0.8256;0.8666;3.5409;0.0526;1.5318;1.6808;3.6757;2;35.047;0.0224;0.9917
GAZP.ME;2;1;0.8;0.0147;0.4;0.1494;2.6;0.5;0.0;0.673;4.2873;2;-12.4395;0.0606;-0.4235
LUKOY;2;1;0.8;0.6735;0.9993;0.9987;100.8129;0.0062;4.0098;0.7668;1.8729;2;-148.0278;0.0921;-1.021
TSLA;2;1;0.8;0.0043;0.0;0.0301;2.0;1.0;0.0;0.0;5.489;2;-96.1875;0.0412;-1.4841
F;2;1;0.8;0.1447;0.9284;0.955;6.2137;0.0294;2.1529;2.4854;3.8303;2;-47.4797;0.0309;-0.9761
GM;2;1;0.8;0.0422;0.6243;0.5799;2.7291;0.1;1.1539;1.1608;4.0069;2;-49.7023;0.0277;-1.1394
TM;2;1;0.8;0.0079;0.2131;0.1721;2.125;0.5;0.0;0.3768;5.1317;2;-27.2904;0.0173;-1.0008
HMC;2;1;0.8;0.1388;0.9019;0.9226;5.4764;0.0263;2.0316;2.3492;3.6126;2;-15.5847;0.0176;-0.5629
GLD;2;1;0.8;0.0157;0.4196;0.3222;2.3139;0.1111;0.6864;0.7056;4.7219;2;1.9204;0.0096;0.1271
SLV;2;1;0.8;0.1369;0.9263;0.9517;5.6445;0.02;2.0041;2.3862;3.6627;2;8.3313;0.019;0.2788
PALL;2;1;0.8;0.0056;0.1961;0.0739;2.0;0.5;0.0;0.0;5.3732;2;10.6484;0.0324;0.2089
PLAT;2;1;0.8;0.0565;0.7293;0.7312;3.0329;0.1;1.4066;1.3853;3.7602;2;-49.7611;0.025;-1.2643
FCX;2;1;0.8;0.026;0.5117;0.4513;2.3766;0.1667;0.8422;0.8053;4.3432;2;7.3001;0.034;0.1364
SPY;2;1;0.8;0.0048;0.16;0.0267;2.0;0.5;0.0;0.0;5.4327;2;-17.7133;0.0153;-0.7353
IVV;2;1;0.8;0.0048;0.1538;0.0265;2.0;0.5;0.0;0.0;5.4409;2;-17.7171;0.0153;-0.7358
VOO;2;1;0.8;0.0052;0.2162;0.0123;2.0;0.5;0.0;0.0;5.3848;2;-17.7629;0.0153;-0.7395
